Review_ID,Product_Name,Review_Text,Rating
1,Tablet,Very satisfied with the performance.,6
2,Smartphone,Great battery life and amazing camera!,4
3,Headphones,"Too many bugs, very disappointing.",-1
4,Laptop,Best tablet ever!!!!!!!,1
5,Laptop,Noise isolation is perfect!,4
6,Headphones,Waterproof and stylish!,5
7,Smartwatch,Extremely comfortable for long hours.,2
8,Smartphone,Sound quality is great! But overpriced.,6
9,Tablet,Extremely comfortable for long hours.,2
10,Smartwatch,"Speakers are too low, can't hear properly.",1
11,Tablet,Extremely comfortable for long hours.,6
12,Laptop,"Poor build quality, broke in a week.",1
13,Headphones,Stylus works beautifully!,5
14,Smartphone,Very satisfied with the performance.,1
15,Headphones,"Speakers are too low, can't hear properly.",6
16,Laptop,Best tablet ever!!!!!!!,4
17,Tablet,LOVE THE FEATURES! but battery drains fast,3
18,Tablet,Notifications are very slow to appear.,6
19,Smartphone,"Camera is outstanding, love it!",2
20,Tablet,"Overheats like crazy, unusable!",2
21,Tablet,"Battery lasts barely a day, not worth it.",2
22,Tablet,LOVE THE FEATURES! but battery drains fast,2
23,Headphones,"Too many bugs, very disappointing.",-1
24,Laptop,Extremely comfortable for long hours.,-1
25,Smartwatch,Exceptional performance!,-1
26,Smartwatch,Extremely comfortable for long hours.,2
27,Tablet,Great battery life and amazing camera!,5
28,Smartwatch,EXCELLENT device. love it!,4
29,Smartphone,Notifications are very slow to appear.,-1
30,Tablet,,5
31,Laptop,Crashed on the first day! Unbelievable.,1
32,Laptop,EXCELLENT device. love it!,1
33,Headphones,Decent sound quality but overpriced,4
34,Smartphone,Extremely comfortable for long hours.,1
35,Headphones,Garbage! Never buying again!,4
36,Laptop,Decent sound quality but overpriced,5
37,Smartwatch,"Speakers are too low, can't hear properly.",4
38,Tablet,"Too many bugs, very disappointing.",3
39,Smartwatch,Absolutely fantastic for reading and browsing.,4
40,Headphones,Garbage! Never buying again!,6
41,Headphones,,2
42,Smartphone,Sound quality is great! But overpriced.,5
43,Smartphone,Extremely comfortable for long hours.,-1
44,Headphones,Slow performance and keeps freezing,2
45,Smartwatch,Touchpad is very unresponsive.,3
46,Smartphone,Exceptional performance!,5
47,Smartwatch,Noise isolation is perfect!,6
48,Headphones,Build quality feels cheap.,2
49,Tablet,Decent sound quality but overpriced,6
50,Smartwatch,Sound quality is great! But overpriced.,6
51,Smartphone,Super slow! Regret buying.,6
52,Tablet,Super slow! Regret buying.,6
53,Tablet,Very satisfied with the performance.,6
54,Tablet,Build quality feels cheap.,6
55,Laptop,Extremely comfortable for long hours.,3
56,Headphones,"Too many bugs, very disappointing.",3
57,Laptop,Touchpad is very unresponsive.,3
58,Tablet,Exceptional performance!,5
59,Smartwatch,Noise isolation is perfect!,4
60,Laptop,Best purchase I've made!,5
61,Laptop,,1
62,Tablet,"Super fast SSD, boots in seconds!",6
63,Smartphone,Slow performance and keeps freezing,4
64,Laptop,Notifications are very slow to appear.,2
65,Smartwatch,LOVE THE FEATURES! but battery drains fast,5
66,Laptop,Sound quality is great! But overpriced.,1
67,Tablet,LOVE THE FEATURES! but battery drains fast,6
68,Tablet,Crashed on the first day! Unbelievable.,2
69,Laptop,"Too many bugs, very disappointing.",6
70,Laptop,Extremely comfortable for long hours.,2
71,Smartwatch,Crashed on the first day! Unbelievable.,1
72,Headphones,Exceptional performance!,2
73,Smartphone,"Super fast SSD, boots in seconds!",2
74,Smartwatch,,-1
75,Headphones,Waterproof and stylish!,3
76,Laptop,LOVE THE FEATURES! but battery drains fast,1
77,Smartphone,Crashed on the first day! Unbelievable.,6
78,Laptop,Noise isolation is perfect!,2
79,Headphones,Absolutely fantastic for reading and browsing.,1
80,Smartphone,Great battery life and amazing camera!,5
81,Headphones,EXCELLENT device. love it!,2
82,Headphones,Absolutely fantastic for reading and browsing.,1
83,Laptop,Super slow! Regret buying.,6
84,Headphones,Crashed on the first day! Unbelievable.,6
85,Smartwatch,Exceptional performance!,-1
86,Smartwatch,"Battery lasts barely a day, not worth it.",1
87,Smartwatch,"Camera is outstanding, love it!",-1
88,Tablet,"Fast and smooth performance, highly recommend!",5
89,Smartwatch,Extremely comfortable for long hours.,4
90,Smartwatch,Crashed on the first day! Unbelievable.,6
91,Tablet,Extremely comfortable for long hours.,6
92,Headphones,"Overheats like crazy, unusable!",-1
93,Tablet,LOVE THE FEATURES! but battery drains fast,3
94,Laptop,"Battery lasts barely a day, not worth it.",5
95,Headphones,"Poor build quality, broke in a week.",-1
96,Tablet,"Overheats like crazy, unusable!",1
97,Smartwatch,,5
98,Tablet,Slow performance and keeps freezing,3
99,Smartphone,Sound quality is great! But overpriced.,3
100,Smartwatch,"Speakers are too low, can't hear properly.",4
101,Tablet,Notifications are very slow to appear.,6
102,Smartwatch,Super slow! Regret buying.,4
103,Headphones,Sound quality is great! But overpriced.,6
104,Headphones,Best tablet ever!!!!!!!,3
105,Smartwatch,Very satisfied with the performance.,2
106,Headphones,Best purchase I've made!,4
107,Smartwatch,"Bad product, worst ever!",5
108,Smartphone,Stylus works beautifully!,2
109,Laptop,Great battery life and amazing camera!,2
110,Headphones,Very satisfied with the performance.,-1
111,Headphones,Notifications are very slow to appear.,3
112,Laptop,Sound quality is great! But overpriced.,-1
113,Smartphone,LOVE THE FEATURES! but battery drains fast,-1
114,Smartphone,Sound quality is great! But overpriced.,2
115,Smartphone,Slow performance and keeps freezing,4
116,Tablet,Best purchase I've made!,4
117,Smartphone,"Super fast SSD, boots in seconds!",5
118,Smartwatch,Decent sound quality but overpriced,1
119,Headphones,"Too many bugs, very disappointing.",3
120,Tablet,Too expensive for the specs it offers.,-1
121,Laptop,"Speakers are too low, can't hear properly.",3
122,Smartwatch,Touchpad is very unresponsive.,6
123,Tablet,"Super fast SSD, boots in seconds!",3
124,Headphones,Sound quality is great! But overpriced.,5
125,Smartphone,"Poor build quality, broke in a week.",6
126,Smartphone,"Poor build quality, broke in a week.",6
127,Laptop,Sound quality is great! But overpriced.,4
128,Laptop,Decent sound quality but overpriced,-1
129,Headphones,Decent sound quality but overpriced,-1
130,Headphones,Waterproof and stylish!,1
131,Tablet,"Overheats like crazy, unusable!",4
132,Tablet,Best purchase I've made!,6
133,Smartphone,Slow performance and keeps freezing,2
134,Laptop,"Camera is outstanding, love it!",3
135,Smartphone,"Bad product, worst ever!",3
136,Smartwatch,Waterproof and stylish!,6
137,Headphones,Charges super fast!,1
138,Tablet,"Poor build quality, broke in a week.",-1
139,Smartwatch,Best tablet ever!!!!!!!,1
140,Tablet,"Super fast SSD, boots in seconds!",2
141,Headphones,Garbage! Never buying again!,2
142,Headphones,LOVE THE FEATURES! but battery drains fast,-1
143,Headphones,Garbage! Never buying again!,4
144,Laptop,Garbage! Never buying again!,3
145,Smartphone,"Battery lasts barely a day, not worth it.",6
146,Smartwatch,Best purchase I've made!,4
147,Headphones,Too expensive for the specs it offers.,3
148,Laptop,Slow performance and keeps freezing,4
149,Headphones,Absolutely fantastic for reading and browsing.,5
150,Laptop,Noise isolation is perfect!,-1
151,Smartphone,"Overheats like crazy, unusable!",5
152,Headphones,Waterproof and stylish!,1
153,Headphones,"Battery lasts barely a day, not worth it.",1
154,Smartwatch,Charges super fast!,6
155,Headphones,Great battery life and amazing camera!,1
156,Laptop,Decent sound quality but overpriced,2
157,Smartphone,LOVE THE FEATURES! but battery drains fast,1
158,Laptop,Decent sound quality but overpriced,5
159,Smartphone,"Overheats like crazy, unusable!",5
160,Headphones,"Poor build quality, broke in a week.",-1
161,Smartphone,Best tablet ever!!!!!!!,6
162,Laptop,Absolutely fantastic for reading and browsing.,6
163,Smartphone,Garbage! Never buying again!,1
164,Smartphone,Best purchase I've made!,3
165,Tablet,"Bad product, worst ever!",5
166,Smartphone,Best purchase I've made!,3
167,Smartphone,Decent sound quality but overpriced,5
168,Smartphone,Waterproof and stylish!,-1
169,Headphones,"Bad product, worst ever!",3
170,Headphones,"Camera is outstanding, love it!",5
171,Laptop,Best purchase I've made!,3
172,Laptop,"Camera is outstanding, love it!",5
173,Headphones,Notifications are very slow to appear.,-1
174,Tablet,Notifications are very slow to appear.,2
175,Smartphone,"Battery lasts barely a day, not worth it.",3
176,Tablet,Notifications are very slow to appear.,3
177,Headphones,"Super fast SSD, boots in seconds!",3
178,Headphones,Decent sound quality but overpriced,3
179,Laptop,"Super fast SSD, boots in seconds!",2
180,Laptop,"Fast and smooth performance, highly recommend!",5
181,Smartwatch,"Overheats like crazy, unusable!",6
182,Laptop,"Battery lasts barely a day, not worth it.",1
183,Headphones,Absolutely fantastic for reading and browsing.,3
184,Smartphone,Noise isolation is perfect!,3
185,Headphones,Sound quality is great! But overpriced.,5
186,Tablet,"Speakers are too low, can't hear properly.",5
187,Smartwatch,Extremely comfortable for long hours.,-1
188,Tablet,Build quality feels cheap.,1
189,Laptop,"Poor build quality, broke in a week.",-1
190,Laptop,Best tablet ever!!!!!!!,3
191,Tablet,Great battery life and amazing camera!,3
192,Laptop,,-1
193,Tablet,Waterproof and stylish!,6
194,Tablet,Slow performance and keeps freezing,4
195,Tablet,Garbage! Never buying again!,6
196,Laptop,"Super fast SSD, boots in seconds!",3
197,Headphones,Stylus works beautifully!,3
198,Headphones,Crashed on the first day! Unbelievable.,3
199,Laptop,"Battery lasts barely a day, not worth it.",4
200,Laptop,Waterproof and stylish!,5
201,Headphones,"Bad product, worst ever!",5
202,Smartwatch,"Bad product, worst ever!",6
203,Smartphone,"Super fast SSD, boots in seconds!",5
204,Smartwatch,"Super fast SSD, boots in seconds!",1
205,Smartphone,"Overheats like crazy, unusable!",4
206,Smartphone,Best purchase I've made!,4
207,Headphones,Decent sound quality but overpriced,1
208,Smartphone,,5
209,Tablet,EXCELLENT device. love it!,2
210,Laptop,Great battery life and amazing camera!,5
211,Tablet,Absolutely fantastic for reading and browsing.,1
212,Smartwatch,EXCELLENT device. love it!,2
213,Smartphone,Extremely comfortable for long hours.,2
214,Smartwatch,"Bad product, worst ever!",5
215,Smartwatch,"Speakers are too low, can't hear properly.",5
216,Smartwatch,Noise isolation is perfect!,-1
217,Smartphone,LOVE THE FEATURES! but battery drains fast,3
218,Laptop,,4
219,Laptop,"Fast and smooth performance, highly recommend!",-1
220,Laptop,Garbage! Never buying again!,3
221,Laptop,Best purchase I've made!,6
222,Smartwatch,"Fast and smooth performance, highly recommend!",1
223,Smartwatch,Best tablet ever!!!!!!!,2
224,Smartphone,Decent sound quality but overpriced,3
225,Smartphone,Waterproof and stylish!,2
226,Smartwatch,Best purchase I've made!,-1
227,Tablet,"Fast and smooth performance, highly recommend!",1
228,Laptop,"Speakers are too low, can't hear properly.",-1
229,Smartphone,Too expensive for the specs it offers.,4
230,Smartphone,"Bad product, worst ever!",2
231,Headphones,"Speakers are too low, can't hear properly.",5
232,Smartphone,EXCELLENT device. love it!,2
233,Smartwatch,Too expensive for the specs it offers.,6
234,Headphones,"Overheats like crazy, unusable!",4
235,Headphones,Crashed on the first day! Unbelievable.,4
236,Smartwatch,Too expensive for the specs it offers.,3
237,Headphones,Exceptional performance!,-1
238,Headphones,"Battery lasts barely a day, not worth it.",1
239,Smartphone,Stylus works beautifully!,5
240,Smartwatch,Very satisfied with the performance.,2
241,Headphones,Super slow! Regret buying.,1
242,Smartphone,Exceptional performance!,2
243,Smartwatch,Very satisfied with the performance.,1
244,Headphones,Extremely comfortable for long hours.,6
245,Smartphone,Crashed on the first day! Unbelievable.,1
246,Laptop,,3
247,Headphones,"Speakers are too low, can't hear properly.",5
248,Smartwatch,Waterproof and stylish!,5
249,Tablet,,5
250,Smartwatch,"Super fast SSD, boots in seconds!",3
251,Tablet,Sound quality is great! But overpriced.,3
252,Smartphone,Sound quality is great! But overpriced.,-1
253,Headphones,Exceptional performance!,6
254,Laptop,"Overheats like crazy, unusable!",5
255,Headphones,Very satisfied with the performance.,-1
256,Laptop,"Overheats like crazy, unusable!",4
257,Laptop,"Poor build quality, broke in a week.",1
258,Smartphone,Exceptional performance!,-1
259,Headphones,Very satisfied with the performance.,5
260,Smartphone,Great battery life and amazing camera!,5
261,Smartwatch,Very satisfied with the performance.,5
262,Headphones,Super slow! Regret buying.,2
263,Tablet,Charges super fast!,6
264,Smartphone,Touchpad is very unresponsive.,1
265,Smartwatch,"Poor build quality, broke in a week.",6
266,Headphones,"Poor build quality, broke in a week.",6
267,Smartphone,Garbage! Never buying again!,3
268,Headphones,"Battery lasts barely a day, not worth it.",4
269,Smartwatch,Waterproof and stylish!,1
270,Smartwatch,Garbage! Never buying again!,4
271,Headphones,Touchpad is very unresponsive.,3
272,Laptop,"Too many bugs, very disappointing.",4
273,Tablet,Sound quality is great! But overpriced.,5
274,Headphones,"Super fast SSD, boots in seconds!",4
275,Headphones,Stylus works beautifully!,2
276,Tablet,Garbage! Never buying again!,2
277,Smartwatch,"Bad product, worst ever!",4
278,Smartwatch,Very satisfied with the performance.,6
279,Headphones,Garbage! Never buying again!,-1
280,Laptop,"Fast and smooth performance, highly recommend!",1
281,Smartwatch,LOVE THE FEATURES! but battery drains fast,1
282,Headphones,Best purchase I've made!,2
283,Smartwatch,,3
284,Headphones,"Camera is outstanding, love it!",6
285,Smartwatch,Decent sound quality but overpriced,6
286,Smartphone,Too expensive for the specs it offers.,1
287,Headphones,"Poor build quality, broke in a week.",3
288,Smartphone,Sound quality is great! But overpriced.,2
289,Tablet,,1
290,Tablet,"Fast and smooth performance, highly recommend!",-1
291,Smartphone,Stylus works beautifully!,-1
292,Laptop,"Too many bugs, very disappointing.",-1
293,Headphones,"Fast and smooth performance, highly recommend!",-1
294,Smartphone,"Overheats like crazy, unusable!",5
295,Headphones,Charges super fast!,-1
296,Smartphone,"Poor build quality, broke in a week.",2
297,Laptop,Waterproof and stylish!,1
298,Smartwatch,Crashed on the first day! Unbelievable.,6
299,Smartwatch,Build quality feels cheap.,5
300,Smartphone,EXCELLENT device. love it!,2
301,Smartphone,"Battery lasts barely a day, not worth it.",6
302,Smartphone,Best purchase I've made!,1
303,Laptop,Absolutely fantastic for reading and browsing.,1
304,Smartwatch,Slow performance and keeps freezing,1
305,Laptop,Garbage! Never buying again!,2
306,Headphones,Stylus works beautifully!,1
307,Smartwatch,Best purchase I've made!,-1
308,Tablet,Touchpad is very unresponsive.,6
309,Smartwatch,Very satisfied with the performance.,2
310,Laptop,Exceptional performance!,5
311,Smartwatch,Charges super fast!,4
312,Smartwatch,Slow performance and keeps freezing,-1
313,Laptop,EXCELLENT device. love it!,6
314,Laptop,Waterproof and stylish!,6
315,Laptop,,4
316,Headphones,,3
317,Tablet,Touchpad is very unresponsive.,-1
318,Smartphone,"Fast and smooth performance, highly recommend!",4
319,Tablet,Exceptional performance!,3
320,Tablet,"Fast and smooth performance, highly recommend!",3
321,Headphones,"Battery lasts barely a day, not worth it.",6
322,Laptop,Super slow! Regret buying.,6
323,Tablet,Very satisfied with the performance.,-1
324,Tablet,LOVE THE FEATURES! but battery drains fast,6
325,Laptop,Very satisfied with the performance.,5
326,Smartwatch,Garbage! Never buying again!,2
327,Headphones,"Speakers are too low, can't hear properly.",1
328,Tablet,Notifications are very slow to appear.,3
329,Smartphone,Noise isolation is perfect!,1
330,Laptop,Build quality feels cheap.,1
331,Laptop,"Super fast SSD, boots in seconds!",4
332,Tablet,"Overheats like crazy, unusable!",4
333,Laptop,Charges super fast!,1
334,Smartphone,"Bad product, worst ever!",-1
335,Tablet,Too expensive for the specs it offers.,2
336,Headphones,Absolutely fantastic for reading and browsing.,6
337,Tablet,Sound quality is great! But overpriced.,3
338,Laptop,Best purchase I've made!,4
339,Smartphone,Stylus works beautifully!,1
340,Smartphone,Build quality feels cheap.,2
341,Smartwatch,Waterproof and stylish!,3
342,Smartphone,"Battery lasts barely a day, not worth it.",3
343,Headphones,Noise isolation is perfect!,2
344,Laptop,Very satisfied with the performance.,5
345,Tablet,Crashed on the first day! Unbelievable.,2
346,Smartwatch,Too expensive for the specs it offers.,4
347,Headphones,"Camera is outstanding, love it!",1
348,Tablet,Absolutely fantastic for reading and browsing.,-1
349,Headphones,Build quality feels cheap.,3
350,Laptop,Exceptional performance!,-1
351,Smartwatch,Exceptional performance!,1
352,Smartwatch,Notifications are very slow to appear.,2
353,Tablet,Touchpad is very unresponsive.,-1
354,Smartphone,EXCELLENT device. love it!,1
355,Laptop,"Battery lasts barely a day, not worth it.",1
356,Headphones,Build quality feels cheap.,6
357,Smartwatch,"Speakers are too low, can't hear properly.",6
358,Tablet,"Fast and smooth performance, highly recommend!",1
359,Headphones,"Overheats like crazy, unusable!",4
360,Smartwatch,Touchpad is very unresponsive.,6
361,Tablet,EXCELLENT device. love it!,4
362,Smartwatch,Touchpad is very unresponsive.,6
363,Headphones,Slow performance and keeps freezing,2
364,Tablet,Waterproof and stylish!,5
365,Headphones,Crashed on the first day! Unbelievable.,5
366,Laptop,Sound quality is great! But overpriced.,6
367,Smartwatch,Best tablet ever!!!!!!!,-1
368,Laptop,Build quality feels cheap.,6
369,Headphones,,5
370,Smartwatch,Sound quality is great! But overpriced.,2
371,Laptop,Sound quality is great! But overpriced.,2
372,Tablet,Charges super fast!,-1
373,Smartphone,Too expensive for the specs it offers.,2
374,Tablet,Exceptional performance!,-1
375,Smartwatch,Crashed on the first day! Unbelievable.,2
376,Smartwatch,Exceptional performance!,-1
377,Tablet,Build quality feels cheap.,3
378,Smartwatch,"Poor build quality, broke in a week.",3
379,Laptop,Noise isolation is perfect!,2
380,Smartphone,Too expensive for the specs it offers.,2
381,Laptop,"Battery lasts barely a day, not worth it.",3
382,Smartwatch,Super slow! Regret buying.,3
383,Smartwatch,Very satisfied with the performance.,6
384,Tablet,Exceptional performance!,1
385,Tablet,Great battery life and amazing camera!,-1
386,Smartphone,Notifications are very slow to appear.,2
387,Laptop,Super slow! Regret buying.,6
388,Tablet,Notifications are very slow to appear.,2
389,Smartphone,Noise isolation is perfect!,-1
390,Tablet,Decent sound quality but overpriced,4
391,Smartphone,Too expensive for the specs it offers.,-1
392,Laptop,Waterproof and stylish!,1
393,Tablet,Absolutely fantastic for reading and browsing.,4
394,Smartphone,"Super fast SSD, boots in seconds!",1
395,Tablet,"Camera is outstanding, love it!",4
396,Tablet,"Fast and smooth performance, highly recommend!",5
397,Laptop,"Camera is outstanding, love it!",4
398,Smartphone,"Poor build quality, broke in a week.",1
399,Tablet,,4
400,Smartphone,"Battery lasts barely a day, not worth it.",5
401,Smartphone,Garbage! Never buying again!,-1
402,Smartwatch,Very satisfied with the performance.,5
403,Laptop,Too expensive for the specs it offers.,4
404,Smartwatch,Build quality feels cheap.,6
405,Smartwatch,"Overheats like crazy, unusable!",1
406,Headphones,"Overheats like crazy, unusable!",1
407,Smartwatch,LOVE THE FEATURES! but battery drains fast,2
408,Smartwatch,Best purchase I've made!,4
409,Tablet,"Too many bugs, very disappointing.",5
410,Headphones,EXCELLENT device. love it!,2
411,Laptop,LOVE THE FEATURES! but battery drains fast,2
412,Headphones,Sound quality is great! But overpriced.,5
413,Smartwatch,,4
414,Smartwatch,Waterproof and stylish!,6
415,Smartphone,"Super fast SSD, boots in seconds!",5
416,Smartphone,Noise isolation is perfect!,3
417,Smartphone,,3
418,Smartphone,Build quality feels cheap.,1
419,Smartphone,"Fast and smooth performance, highly recommend!",5
420,Smartwatch,Exceptional performance!,3
421,Smartphone,"Overheats like crazy, unusable!",-1
422,Tablet,"Speakers are too low, can't hear properly.",4
423,Tablet,Touchpad is very unresponsive.,5
424,Laptop,Extremely comfortable for long hours.,6
425,Smartwatch,Stylus works beautifully!,1
426,Tablet,Absolutely fantastic for reading and browsing.,-1
427,Laptop,"Camera is outstanding, love it!",1
428,Smartphone,Great battery life and amazing camera!,3
429,Smartphone,Too expensive for the specs it offers.,1
430,Headphones,"Camera is outstanding, love it!",3
431,Headphones,,-1
432,Smartwatch,Garbage! Never buying again!,2
433,Laptop,"Bad product, worst ever!",6
434,Headphones,"Too many bugs, very disappointing.",4
435,Tablet,,2
436,Tablet,Touchpad is very unresponsive.,4
437,Laptop,,2
438,Laptop,Charges super fast!,2
439,Headphones,Waterproof and stylish!,5
440,Tablet,Exceptional performance!,1
441,Smartphone,Best tablet ever!!!!!!!,2
442,Laptop,Touchpad is very unresponsive.,1
443,Smartwatch,"Fast and smooth performance, highly recommend!",5
444,Tablet,Best purchase I've made!,2
445,Smartwatch,LOVE THE FEATURES! but battery drains fast,2
446,Smartphone,"Speakers are too low, can't hear properly.",4
447,Laptop,"Overheats like crazy, unusable!",-1
448,Laptop,Too expensive for the specs it offers.,6
449,Laptop,LOVE THE FEATURES! but battery drains fast,1
450,Laptop,Charges super fast!,1
451,Smartwatch,Waterproof and stylish!,3
452,Laptop,"Overheats like crazy, unusable!",2
453,Smartwatch,Too expensive for the specs it offers.,6
454,Smartphone,Charges super fast!,3
455,Tablet,Exceptional performance!,5
456,Laptop,Touchpad is very unresponsive.,4
457,Laptop,Waterproof and stylish!,2
458,Headphones,Noise isolation is perfect!,5
459,Headphones,"Battery lasts barely a day, not worth it.",4
460,Tablet,"Poor build quality, broke in a week.",3
461,Laptop,"Bad product, worst ever!",6
462,Smartphone,"Speakers are too low, can't hear properly.",-1
463,Headphones,Absolutely fantastic for reading and browsing.,5
464,Smartphone,Build quality feels cheap.,1
465,Headphones,Very satisfied with the performance.,4
466,Tablet,Charges super fast!,3
467,Smartwatch,Notifications are very slow to appear.,1
468,Smartphone,Waterproof and stylish!,5
469,Tablet,Notifications are very slow to appear.,4
470,Smartwatch,Best purchase I've made!,4
471,Tablet,"Battery lasts barely a day, not worth it.",1
472,Laptop,Great battery life and amazing camera!,-1
473,Smartwatch,Best tablet ever!!!!!!!,1
474,Smartwatch,Slow performance and keeps freezing,6
475,Headphones,Charges super fast!,1
476,Smartwatch,Waterproof and stylish!,2
477,Smartwatch,Stylus works beautifully!,4
478,Tablet,Touchpad is very unresponsive.,-1
479,Tablet,Crashed on the first day! Unbelievable.,1
480,Smartwatch,Slow performance and keeps freezing,3
481,Smartwatch,Garbage! Never buying again!,1
482,Laptop,Waterproof and stylish!,6
483,Laptop,Best purchase I've made!,4
484,Smartwatch,Exceptional performance!,1
485,Smartphone,Build quality feels cheap.,-1
486,Laptop,Extremely comfortable for long hours.,2
487,Smartwatch,Garbage! Never buying again!,-1
488,Tablet,Best purchase I've made!,2
489,Tablet,Touchpad is very unresponsive.,4
490,Headphones,Best purchase I've made!,2
491,Smartphone,Sound quality is great! But overpriced.,4
492,Tablet,LOVE THE FEATURES! but battery drains fast,6
493,Headphones,Decent sound quality but overpriced,5
494,Laptop,,5
495,Laptop,"Poor build quality, broke in a week.",6
496,Laptop,EXCELLENT device. love it!,4
497,Laptop,Absolutely fantastic for reading and browsing.,2
498,Smartwatch,Extremely comfortable for long hours.,4
499,Laptop,Waterproof and stylish!,-1
500,Tablet,,1
501,Tablet,Slow performance and keeps freezing,2
